Title,Code,Type,2019EmpNum,2029EmpProjNum,2019Dist,2029ProjDist,10yrChgNum,10yrChgPct, AnnAvgOpens 
"Law teachers, postsecondary",25-1112,Line item,21.30,22.80,0.00,0.00,1.50,6.90,1.80
"Social work teachers, postsecondary",25-1113,Line item,17.30,18.30,0.00,0.00,1.00,5.70,1.40
"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,320.60,334.70,0.20,0.20,14.00,4.40,25.70
"Art, drama, and music teachers, postsecondary",25-1121,Line item,116.30,122.80,0.10,0.10,6.50,5.60,9.50
"Communications teachers, postsecondary",25-1122,Line item,35.60,36.70,0.00,0.00,1.10,3.20,2.80
"English language and literature teachers, postsecondary",25-1123,Line item,81.30,82.90,0.00,0.00,1.70,2.10,6.30
"Foreign language and literature teachers, postsecondary",25-1124,Line item,30.60,32.30,0.00,0.00,1.70,5.70,2.50
"History teachers, postsecondary",25-1125,Line item,26.00,27.00,0.00,0.00,0.90,3.60,2.10
"Philosophy and religion teachers, postsecondary",25-1126,Line item,30.90,32.90,0.00,0.00,2.10,6.70,2.60
Miscellaneous postsecondary teachers,25-1190,Summary,391.60,398.30,0.20,0.20,6.70,1.70,30.00
"Family and consumer sciences teachers, postsecondary",25-1192,Line item,2.50,2.60,0.00,0.00,0.00,1.30,0.20
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,19.10,19.60,0.00,0.00,0.50,2.60,1.50
"Career/technical education teachers, postsecondary",25-1194,Line item,124.10,125.50,0.10,0.10,1.30,1.10,9.40
"Postsecondary teachers, all other",25-1199,Line item,245.90,250.70,0.20,0.10,4.80,2.00,18.90
"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,4363.90,4515.60,2.70,2.70,151.80,3.50,322.40
Preschool and kindergarten teachers,25-2010,Summary,668.10,686.30,0.40,0.40,18.20,2.70,62.80
"Preschool teachers, except special education",25-2011,Line item,540.40,553.90,0.30,0.30,13.50,2.50,50.60
"Kindergarten teachers, except special education",25-2012,Line item,127.70,132.40,0.10,0.10,4.70,3.70,12.20
Elementary and middle school teachers,25-2020,Summary,2091.00,2165.30,1.30,1.30,74.30,3.60,148.70
"Elementary school teachers, except special education",25-2021,Line item,1452.10,1503.50,0.90,0.90,51.40,3.50,103.20
"Middle school teachers, except special and career/technical education",25-2022,Line item,627.10,649.60,0.40,0.40,22.50,3.60,44.60
"Career/technical education teachers, middle school",25-2023,Line item,11.80,12.10,0.00,0.00,0.40,3.10,0.80
Secondary school teachers,25-2030,Summary,1124.50,1166.40,0.70,0.70,41.90,3.70,75.90
"Secondary school teachers, except special and career/technical education",25-2031,Line item,1050.80,1090.90,0.60,0.60,40.20,3.80,71.10
"Career/technical education teachers, secondary school",25-2032,Line item,73.80,75.50,0.00,0.00,1.70,2.30,4.80
Special education teachers,25-2050,Summary,480.20,497.70,0.30,0.30,17.40,3.60,35.00
"Special education teachers, preschool",25-2051,Line item,23.00,24.90,0.00,0.00,1.90,8.30,1.80
"Special education teachers, kindergarten and elementary school",25-2052,Line item,193.00,198.60,0.10,0.10,5.60,2.90,13.90
"Special education teachers, middle school",25-2057,Line item,84.70,86.90,0.10,0.10,2.20,2.60,6.10
"Special education teachers, secondary school",25-2058,Line item,143.00,147.60,0.10,0.10,4.60,3.20,10.30
"Special education teachers, all other",25-2059,Line item,36.60,39.70,0.00,0.00,3.10,8.50,2.90
Other teachers and instructors,25-3000,Summary,1471.10,1550.70,0.90,0.90,79.70,5.40,166.30
"Adult basic education, adult secondary education, and English as a Second Language instructors",25-3011,Line item,59.30,53.10,0.00,0.00,-6.20,-10.40,5.30
Self-enrichment teachers,25-3021,Line item,386.20,425.90,0.20,0.30,39.80,10.30,46.50
"Substitute teachers, short-term",25-3031,Line item,619.40,635.30,0.40,0.40,15.90,2.60,67.30
"Tutors and teachers and instructors, all other",25-3097,Line item,406.20,436.40,0.20,0.30,30.20,7.40,47.20
"Librarians, curators, and archivists",25-4000,Summary,278.10,285.90,0.20,0.20,7.80,2.80,31.00
"Archivists, curators, and museum technicians",25-4010,Summary,37.50,41.70,0.00,0.00,4.20,11.20,4.50
Archivists,25-4011,Line item,8.10,8.80,0.00,0.00,0.60,7.90,0.90
Curators,25-4012,Line item,14.50,16.40,0.00,0.00,1.80,12.60,1.80
Museum technicians and conservators,25-4013,Line item,14.80,16.50,0.00,0.00,1.70,11.60,1.80
Librarians and media collections specialists,25-4022,Line item,146.50,153.80,0.10,0.10,7.30,5.00,13.80
Library technicians,25-4031,Line item,94.10,90.50,0.10,0.10,-3.60,-3.90,12.70
Other educational instruction and library occupations,25-9000,Summary,1910.20,1983.70,1.20,1.20,73.50,3.80,185.00
Farm and home management educators,25-9021,Line item,10.40,10.00,0.00,0.00,-0.40,-3.90,0.80
Instructional coordinators,25-9031,Line item,192.90,204.30,0.10,0.10,11.40,5.90,17.70
Teaching assistants,25-9040,Summary,1565.50,1621.70,1.00,1.00,56.30,3.60,153.80
"Teaching assistants, postsecondary",25-9044,Line item,169.60,175.40,0.10,0.10,5.80,3.40,13.40
"Teaching assistants, except postsecondary",25-9045,Line item,1395.90,1446.40,0.90,0.90,50.50,3.60,140.40
"Educational instruction and library workers, all other",25-9099,Line item,141.40,147.70,0.10,0.10,6.20,4.40,12.70
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,2923.60,2997.60,1.80,1.80,73.90,2.50,293.40
Art and design workers,27-1000,Summary,909.50,876.70,0.60,0.50,-32.90,-3.60,75.60
Artists and related workers,27-1010,Summary,218.60,219.70,0.10,0.10,1.10,0.50,21.00
Art directors,27-1011,Line item,99.10,97.30,0.10,0.10,-1.80,-1.80,9.20
Craft artists,27-1012,Line item,10.60,10.50,0.00,0.00,-0.10,-1.00,1.00
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,28.30,28.60,0.00,0.00,0.30,1.00,2.70
Special effects artists and animators,27-1014,Line item,67.50,70.30,0.00,0.00,2.80,4.10,6.90
"Artists and related workers, all other",27-1019,Line item,13.10,13.00,0.00,0.00,0.00,-0.20,1.20
Designers,27-1020,Summary,690.90,657.00,0.40,0.40,-33.90,-4.90,54.60
Commercial and industrial designers,27-1021,Line item,42.20,40.70,0.00,0.00,-1.50,-3.50,3.40
Fashion designers,27-1022,Line item,28.30,27.00,0.00,0.00,-1.30,-4.40,2.30
Floral designers,27-1023,Line item,51.80,41.40,0.00,0.00,-10.40,-20.10,3.00
Graphic designers,27-1024,Line item,281.50,270.80,0.20,0.20,-10.70,-3.80,22.70
Interior designers,27-1025,Line item,77.90,74.10,0.00,0.00,-3.80,-4.90,6.20
Merchandise displayers and window trimmers,27-1026,Line item,180.40,174.20,0.10,0.10,-6.20,-3.40,14.60
Set and exhibit designers,27-1027,Line item,15.20,15.40,0.00,0.00,0.20,1.20,1.30
"Designers, all other",27-1029,Line item,13.60,13.40,0.00,0.00,-0.30,-1.90,1.10
"Entertainers and performers, sports and related workers",27-2000,Summary,841.80,902.40,0.50,0.50,60.60,7.20,104.70
"Actors, producers, and directors",27-2010,Summary,229.60,247.70,0.10,0.10,18.10,7.90,22.30
Actors,27-2011,Line item,70.10,72.20,0.00,0.00,2.10,3.10,7.10
Producers and directors,27-2012,Line item,159.50,175.50,0.10,0.10,16.00,10.00,15.20
"Athletes, coaches, umpires, and related workers",27-2020,Summary,328.40,366.00,0.20,0.20,37.50,11.40,50.70
Athletes and sports competitors,27-2021,Line item,13.60,15.00,0.00,0.00,1.40,10.00,2.10
Coaches and scouts,27-2022,Line item,292.00,326.40,0.20,0.20,34.30,11.80,45.30
"Umpires, referees, and other sports officials",27-2023,Line item,22.80,24.60,0.00,0.00,1.80,8.00,3.40
Dancers and choreographers,27-2030,Summary,16.90,18.00,0.00,0.00,1.00,6.10,2.80
Dancers,27-2031,Line item,11.40,11.70,0.00,0.00,0.30,2.30,1.80
Choreographers,27-2032,Line item,5.50,6.30,0.00,0.00,0.80,14.00,1.00
"Musicians, singers, and related workers",27-2040,Summary,233.60,236.10,0.10,0.10,2.60,1.10,25.30
Music directors and composers,27-2041,Line item,58.00,59.00,0.00,0.00,1.00,1.70,6.30
Musicians and singers,27-2042,Line item,175.60,177.20,0.10,0.10,1.60,0.90,19.00
"Miscellaneous entertainers and performers, sports and related workers",27-2090,Line item,33.30,34.60,0.00,0.00,1.40,4.20,3.60
Media and communication workers,27-3000,Summary,804.00,828.00,0.50,0.50,24.00,3.00,76.10
Broadcast announcers and radio disc jockeys,27-3011,Line item,40.80,38.70,0.00,0.00,-2.10,-5.30,3.70
"News analysts, reporters, and journalists",27-3023,Line item,52.00,46.20,0.00,0.00,-5.80,-11.20,4.30
Public relations specialists,27-3031,Line item,274.60,294.30,0.20,0.20,19.70,7.20,27.10
Writers and editors,27-3040,Summary,308.40,300.90,0.20,0.20,-7.40,-2.40,27.10
Editors,27-3041,Line item,118.70,110.00,0.10,0.10,-8.70,-7.30,9.80
Technical writers,27-3042,Line item,58.40,62.70,0.00,0.00,4.30,7.40,5.70
Writers and authors,27-3043,Line item,131.20,128.20,0.10,0.10,-3.10,-2.30,11.60
Miscellaneous media and communication workers,27-3090,Summary,128.20,148.00,0.10,0.10,19.70,15.40,13.80
Interpreters and translators,27-3091,Line item,77.40,92.90,0.00,0.10,15.50,20.00,8.80
Court reporters and simultaneous captioners,27-3092,Line item,15.70,17.00,0.00,0.00,1.40,8.90,1.40
"Media and communication workers, all other",27-3099,Line item,35.20,38.00,0.00,0.00,2.80,8.10,3.60
Media and communication equipment workers,27-4000,Summary,368.30,390.50,0.20,0.20,22.20,6.00,37.10
Audio and video technicians,27-4011,Line item,91.80,103.10,0.10,0.10,11.30,12.30,10.80
Broadcast technicians,27-4012,Line item,32.70,33.70,0.00,0.00,1.00,3.10,3.40
Sound engineering technicians,27-4014,Line item,15.80,16.70,0.00,0.00,1.00,6.00,1.70
Photographers,27-4021,Line item,133.50,128.70,0.10,0.10,-4.80,-3.60,10.90
"Television, video, and film camera operators and editors",27-4030,Summary,67.90,80.40,0.00,0.00,12.40,18.30,7.40
"Camera operators, television, video, and film",27-4031,Line item,29.70,33.80,0.00,0.00,4.20,14.00,3.00
Film and video editors,27-4032,Line item,38.30,46.50,0.00,0.00,8.30,21.60,4.30
"Lighting technicians and media and communication equipment workers, all other",27-4098,Line item,26.60,27.90,0.00,0.00,1.30,4.90,2.80
Healthcare practitioners and technical occupations,29-0000,Summary,9133.70,9967.30,5.60,5.90,833.60,9.10,570.80
Healthcare diagnosing or treating practitioners,29-1000,Summary,6061.20,6646.80,3.70,3.90,585.50,9.70,339.80
Chiropractors,29-1011,Line item,51.10,53.40,0.00,0.00,2.30,4.50,1.40
Dentists,29-1020,Summary,151.60,155.50,0.10,0.10,4.00,2.60,4.80
"Dentists, general",29-1021,Line item,132.10,135.70,0.10,0.10,3.70,2.80,4.20
Oral and maxillofacial surgeons,29-1022,Line item,5.60,5.70,0.00,0.00,0.10,2.40,0.20
Orthodontists,29-1023,Line item,7.20,7.30,0.00,0.00,0.20,2.40,0.20
Prosthodontists,29-1024,Line item,0.60,0.60,0.00,0.00,0.00,2.20,0.00
"Dentists, all other specialists",29-1029,Line item,6.20,6.20,0.00,0.00,0.00,0.20,0.20
Dietitians and nutritionists,29-1031,Line item,74.20,80.10,0.00,0.00,5.90,8.00,5.30
Optometrists,29-1041,Line item,44.40,46.30,0.00,0.00,1.90,4.30,1.50
Pharmacists,29-1051,Line item,321.70,311.20,0.20,0.20,-10.50,-3.30,11.20
Physician assistants,29-1071,Line item,125.50,164.80,0.10,0.10,39.30,31.30,11.40
Podiatrists,29-1081,Line item,10.50,10.60,0.00,0.00,0.00,0.20,0.50
Therapists,29-1120,Summary,790.70,937.20,0.50,0.60,146.50,18.50,54.30
Occupational therapists,29-1122,Line item,143.30,166.00,0.10,0.10,22.70,15.90,10.30
Physical therapists,29-1123,Line item,258.20,305.20,0.20,0.20,47.00,18.20,15.20
Radiation therapists,29-1124,Line item,18.50,19.90,0.00,0.00,1.30,7.10,1.00
Recreational therapists,29-1125,Line item,19.90,21.60,0.00,0.00,1.70,8.30,1.20
Respiratory therapists,29-1126,Line item,135.80,162.00,0.10,0.10,26.30,19.40,9.20
Speech-language pathologists,29-1127,Line item,162.60,203.10,0.10,0.10,40.50,24.90,13.70
Exercise physiologists,29-1128,Line item,19.80,22.10,0.00,0.00,2.20,11.30,1.40
"Therapists, all other",29-1129,Line item,32.60,37.40,0.00,0.00,4.80,14.60,2.40
Veterinarians,29-1131,Line item,89.20,103.40,0.10,0.10,14.20,15.90,4.50
Registered nurses,29-1141,Line item,3096.70,3318.70,1.90,2.00,221.90,7.20,175.90
Nurse anesthetists,29-1151,Line item,44.90,51.00,0.00,0.00,6.20,13.70,2.90
Nurse midwives,29-1161,Line item,7.20,8.10,0.00,0.00,0.80,11.60,0.50
Nurse practitioners,29-1171,Line item,211.30,322.00,0.10,0.20,110.70,52.40,24.20
Audiologists,29-1181,Line item,13.80,15.60,0.00,0.00,1.80,13.30,0.80
Anesthesiologists,29-1211,Line item,33.80,34.00,0.00,0.00,0.20,0.50,0.90
Family medicine physicians,29-1215,Line item,119.30,126.60,0.10,0.10,7.30,6.10,4.00
General internal medicine physicians,29-1216,Line item,49.50,49.20,0.00,0.00,-0.30,-0.60,1.30
Obstetricians and gynecologists,29-1218,Line item,20.30,20.10,0.00,0.00,-0.30,-1.40,0.50
"Pediatricians, general",29-1221,Line item,32.50,32.00,0.00,0.00,-0.50,-1.60,0.80
Psychiatrists,29-1223,Line item,27.90,31.30,0.00,0.00,3.30,11.90,1.10
"Physicians, all other; and ophthalmologists, except pediatric",29-1228,Line item,429.50,447.90,0.30,0.30,18.50,4.30,13.60
"Surgeons, except ophthalmologists",29-1248,Line item,39.60,38.80,0.00,0.00,-0.90,-2.20,1.00
Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,276.00,289.10,0.20,0.20,13.20,4.80,17.40
Dental hygienists,29-1292,Line item,226.40,239.70,0.10,0.10,13.30,5.90,15.10
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",29-1298,Line item,49.60,49.40,0.00,0.00,-0.10,-0.30,2.30
Health technologists and technicians,29-2000,Summary,2978.30,3215.90,1.80,1.90,237.60,8.00,225.00
Clinical laboratory technologists and technicians,29-2010,Line item,337.80,362.50,0.20,0.20,24.70,7.30,21.60
Cardiovascular technologists and technicians,29-2031,Line item,57.40,60.50,0.00,0.00,3.10,5.40,3.20
Diagnostic medical sonographers,29-2032,Line item,74.30,86.80,0.00,0.10,12.50,16.80,5.10
Nuclear medicine technologists,29-2033,Line item,18.50,19.50,0.00,0.00,1.00,5.40,1.00
Radiologic technologists and technicians,29-2034,Line item,212.00,226.10,0.10,0.10,14.10,6.70,12.00
Magnetic resonance imaging technologists,29-2035,Line item,38.70,41.40,0.00,0.00,2.70,7.00,2.20
Emergency medical technicians and paramedics,29-2040,Line item,265.20,282.20,0.20,0.20,17.00,6.40,17.40
Health practitioner support technologists and technicians,29-2050,Summary,819.00,881.30,0.50,0.50,62.30,7.60,69.20
Dietetic technicians,29-2051,Line item,30.20,32.00,0.00,0.00,1.80,5.90,2.50
Pharmacy technicians,29-2052,Line item,422.30,437.60,0.30,0.30,15.20,3.60,33.40
Psychiatric technicians,29-2053,Line item,82.80,93.80,0.10,0.10,11.00,13.30,7.60
Surgical technologists,29-2055,Line item,111.30,118.90,0.10,0.10,7.60,6.80,9.30
Veterinary technologists and technicians,29-2056,Line item,112.90,131.20,0.10,0.10,18.30,16.20,10.90
Ophthalmic medical technicians,29-2057,Line item,59.50,67.90,0.00,0.00,8.50,14.20,5.60
Licensed practical and licensed vocational nurses,29-2061,Line item,721.70,787.40,0.40,0.50,65.70,9.10,58.40
"Opticians, dispensing",29-2081,Line item,73.80,76.80,0.00,0.00,3.00,4.00,5.70
Orthotists and prosthetists,29-2091,Line item,10.00,11.70,0.00,0.00,1.70,16.90,0.90
Hearing aid specialists,29-2092,Line item,8.10,9.00,0.00,0.00,0.90,10.50,0.60
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29-2098,Line item,341.60,370.60,0.20,0.20,29.00,8.50,27.80
Other healthcare practitioners and technical occupations,29-9000,Summary,94.20,104.70,0.10,0.10,10.50,11.10,6.00
Athletic trainers,29-9091,Line item,32.10,37.30,0.00,0.00,5.20,16.20,2.20
Genetic counselors,29-9092,Line item,2.60,3.20,0.00,0.00,0.60,21.50,0.20
"Health information technologists, medical registrars, surgical assistants, and healthcare practitioners and technical workers, all other",29-9098,Line item,59.40,64.10,0.00,0.00,4.70,7.90,3.50
Healthcare support occupations,31-0000,Summary,7013.40,8598.10,4.30,5.10,1584.80,22.60,1000.00
"Home health and personal care aides; and nursing assistants, orderlies, and psychiatric aides",31-1100,Summary,5078.40,6363.80,3.10,3.80,1285.40,25.30,755.30
Home health and personal care aides,31-1120,Line item,3439.70,4599.20,2.10,2.70,1159.50,33.70,568.80
"Nursing assistants, orderlies, and psychiatric aides",31-1130,Summary,1638.70,1764.60,1.00,1.00,125.90,7.70,186.60
Nursing assistants,31-1131,Line item,1528.50,1645.50,0.90,1.00,116.90,7.60,174.00
Orderlies,31-1132,Line item,50.60,53.10,0.00,0.00,2.50,5.00,5.60
Psychiatric aides,31-1133,Line item,59.50,66.00,0.00,0.00,6.50,10.90,7.10
Occupational therapy and physical therapist assistants and aides,31-2000,Summary,204.40,265.30,0.10,0.20,60.90,29.80,30.00
Occupational therapy assistants and aides,31-2010,Summary,55.10,73.00,0.00,0.00,17.90,32.50,7.90
Occupational therapy assistants,31-2011,Line item,47.10,63.50,0.00,0.00,16.30,34.60,6.90
Occupational therapy aides,31-2012,Line item,8.00,9.50,0.00,0.00,1.60,19.90,1.00
Physical therapist assistants and aides,31-2020,Summary,149.30,192.30,0.10,0.10,43.00,28.80,22.00
Physical therapist assistants,31-2021,Line item,98.70,130.90,0.10,0.10,32.20,32.60,15.10
Physical therapist aides,31-2022,Line item,50.60,61.30,0.00,0.00,10.80,21.30,6.90
Other healthcare support occupations,31-9000,Summary,1730.60,1969.00,1.10,1.20,238.50,13.80,214.70
Massage therapists,31-9011,Line item,166.70,201.10,0.10,0.10,34.40,20.60,22.00
Miscellaneous healthcare support occupations,31-9090,Summary,1563.80,1767.90,1.00,1.00,204.10,13.10,192.70
Dental assistants,31-9091,Line item,354.60,378.00,0.20,0.20,23.40,6.60,39.00
Medical assistants,31-9092,Line item,725.20,864.40,0.40,0.50,139.20,19.20,92.80
Medical equipment preparers,31-9093,Line item,58.70,62.20,0.00,0.00,3.40,5.90,6.70
Medical transcriptionists,31-9094,Line item,58.50,57.20,0.00,0.00,-1.30,-2.20,6.90
Pharmacy aides,31-9095,Line item,37.90,32.00,0.00,0.00,-5.90,-15.70,3.20
Veterinary assistants and laboratory animal caretakers,31-9096,Line item,99.50,115.20,0.10,0.10,15.70,15.80,16.90
Phlebotomists,31-9097,Line item,132.60,155.50,0.10,0.10,22.80,17.20,15.80
"Healthcare support workers, all other",31-9099,Line item,96.90,103.60,0.10,0.10,6.70,6.90,11.30
Protective service occupations,33-0000,Summary,3615.90,3711.10,2.20,2.20,95.20,2.60,387.90
Supervisors of protective service workers,33-1000,Summary,331.90,340.50,0.20,0.20,8.60,2.60,23.50
First-line supervisors of law enforcement workers,33-1010,Summary,174.80,177.60,0.10,0.10,2.80,1.60,11.10
First-line supervisors of correctional officers,33-1011,Line item,48.70,44.90,0.00,0.00,-3.80,-7.80,2.80
First-line supervisors of police and detectives,33-1012,Line item,126.10,132.70,0.10,0.10,6.60,5.20,8.30
First-line supervisors of firefighting and prevention workers,33-1021,Line item,71.50,75.90,0.00,0.00,4.40,6.20,4.60
"Miscellaneous first-line supervisors, protective service workers",33-1090,Line item,85.70,87.00,0.10,0.10,1.30,1.60,7.80
Firefighting and prevention workers,33-2000,Summary,351.90,373.60,0.20,0.20,21.70,6.20,26.00
Firefighters,33-2011,Line item,335.50,355.80,0.20,0.20,20.30,6.10,24.20
Fire inspectors,33-2020,Summary,16.40,17.80,0.00,0.00,1.40,8.50,1.80
Fire inspectors and investigators,33-2021,Line item,14.20,15.00,0.00,0.00,0.80,5.90,1.50
Forest fire inspectors and prevention specialists,33-2022,Line item,2.30,2.80,0.00,0.00,0.50,24.30,0.30
Law enforcement workers,33-3000,Summary,1283.90,1288.50,0.80,0.80,4.60,0.40,94.00
"Bailiffs, correctional officers, and jailers",33-3010,Summary,462.30,429.20,0.30,0.30,-33.10,-7.20,34.70
Bailiffs,33-3011,Line item,20.30,20.30,0.00,0.00,-0.10,-0.30,1.70
Correctional officers and jailers,33-3012,Line item,442.00,408.90,0.30,0.20,-33.10,-7.50,33.00
Detectives and criminal investigators,33-3021,Line item,113.50,114.70,0.10,0.10,1.30,1.10,7.30
Fish and game wardens,33-3031,Line item,7.20,7.30,0.00,0.00,0.10,1.20,0.50
Parking enforcement workers,33-3041,Line item,8.10,5.20,0.00,0.00,-2.90,-36.20,0.20
Police officers,33-3050,Summary,692.90,732.10,0.40,0.40,39.20,5.70,51.30
Police and sheriff's patrol officers,33-3051,Line item,688.40,727.40,0.40,0.40,39.10,5.70,51.00
Transit and railroad police,33-3052,Line item,4.50,4.70,0.00,0.00,0.20,4.00,0.30
Other protective service workers,33-9000,Summary,1648.20,1708.50,1.00,1.00,60.30,3.70,244.40
Animal control workers,33-9011,Line item,13.90,14.80,0.00,0.00,0.90,6.50,1.40
Private detectives and investigators,33-9021,Line item,36.20,39.20,0.00,0.00,3.00,8.30,3.30
Security guards and gambling surveillance officers,33-9030,Summary,1164.60,1197.90,0.70,0.70,33.30,2.90,144.00
Gambling surveillance officers and gambling investigators,33-9031,Line item,10.50,11.10,0.00,0.00,0.60,5.60,1.40
Security guards,33-9032,Line item,1154.10,1186.80,0.70,0.70,32.80,2.80,142.70
Miscellaneous protective service workers,33-9090,Summary,433.50,456.60,0.30,0.30,23.10,5.30,95.70
Crossing guards and flaggers,33-9091,Line item,86.70,91.60,0.10,0.10,5.00,5.70,15.40
"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,149.80,163.30,0.10,0.10,13.50,9.00,39.30
Transportation security screeners,33-9093,Line item,51.40,49.80,0.00,0.00,-1.60,-3.10,4.30
"School bus monitors and protective service workers, all other",33-9098,Line item,145.60,151.80,0.10,0.10,6.20,4.30,36.70
Food preparation and serving related occupations,35-0000,Summary,13761.30,14769.70,8.50,8.70,1008.40,7.30,2412.80
Supervisors of food preparation and serving workers,35-1000,Summary,1188.00,1258.30,0.70,0.70,70.40,5.90,171.10
Chefs and head cooks,35-1011,Line item,148.70,158.10,0.10,0.10,9.50,6.40,18.50
First-line supervisors of food preparation and serving workers,35-1012,Line item,1039.30,1100.20,0.60,0.70,60.90,5.90,152.60
Cooks and food preparation workers,35-2000,Summary,3458.50,3705.60,2.10,2.20,247.20,7.10,514.40
Cooks,35-2010,Summary,2571.70,2828.40,1.60,1.70,256.60,10.00,374.90
"Cooks, fast food",35-2011,Line item,534.00,462.30,0.30,0.30,-71.60,-13.40,57.30
"Cooks, institution and cafeteria",35-2012,Line item,420.20,428.70,0.30,0.30,8.50,2.00,55.80
"Cooks, private household",35-2013,Line item,23.80,22.30,0.00,0.00,-1.50,-6.30,2.80
"Cooks, restaurant",35-2014,Line item,1417.30,1744.60,0.90,1.00,327.30,23.10,237.20
"Cooks, short order",35-2015,Line item,154.70,147.90,0.10,0.10,-6.80,-4.40,18.90
"Cooks, all other",35-2019,Line item,21.80,22.50,0.00,0.00,0.80,3.50,2.90
Food preparation workers,35-2021,Line item,886.70,877.20,0.50,0.50,-9.50,-1.10,139.40
Food and beverage serving workers,35-3000,Summary,7600.80,8217.10,4.70,4.90,616.30,8.10,1456.10
Bartenders,35-3011,Line item,654.70,693.10,0.40,0.40,38.40,5.90,108.70
Fast food and counter workers,35-3023,Line item,4047.70,4508.60,2.50,2.70,460.90,11.40,826.60
Waiters and waitresses,35-3031,Line item,2613.80,2711.40,1.60,1.60,97.60,3.70,475.70
"Food servers, nonrestaurant",35-3041,Line item,284.60,303.90,0.20,0.20,19.30,6.80,45.10
Other food preparation and serving related workers,35-9000,Summary,1514.10,1588.70,0.90,0.90,74.60,4.90,271.20
Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,488.00,519.90,0.30,0.30,31.90,6.50,83.00
Dishwashers,35-9021,Line item,522.30,524.70,0.30,0.30,2.40,0.50,77.60
"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,429.70,464.90,0.30,0.30,35.20,8.20,98.10
"Food preparation and serving related workers, all other",35-9099,Line item,74.10,79.20,0.00,0.00,5.10,6.90,12.60
Building and grounds cleaning and maintenance occupations,37-0000,Summary,5664.00,5943.40,3.50,3.50,279.50,4.90,721.90
Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,402.60,441.30,0.20,0.30,38.80,9.60,45.60
First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,231.90,251.20,0.10,0.10,19.40,8.40,26.80
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,170.70,190.10,0.10,0.10,19.40,11.40,18.90
Building cleaning and pest control workers,37-2000,Summary,3956.10,4066.00,2.40,2.40,109.90,2.80,501.80
Building cleaning workers,37-2010,Summary,3868.50,3970.90,2.40,2.40,102.40,2.60,489.70
"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,2374.20,2479.80,1.50,1.50,105.60,4.40,305.60
Maids and housekeeping cleaners,37-2012,Line item,1474.90,1470.70,0.90,0.90,-4.10,-0.30,181.50
"Building cleaning workers, all other",37-2019,Line item,19.40,20.40,0.00,0.00,0.90,4.80,2.50
Pest control workers,37-2021,Line item,87.60,95.00,0.10,0.10,7.50,8.50,12.10
Grounds maintenance workers,37-3000,Summary,1305.30,1436.10,0.80,0.90,130.80,10.00,174.50
Landscaping and groundskeeping workers,37-3011,Line item,1188.00,1307.90,0.70,0.80,119.90,10.10,158.90
"Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,38.10,41.20,0.00,0.00,3.20,8.30,5.00
Tree trimmers and pruners,37-3013,Line item,62.00,68.60,0.00,0.00,6.60,10.70,8.30
"Grounds maintenance workers, all other",37-3019,Line item,17.40,18.50,0.00,0.00,1.10,6.50,2.20
Personal care and service occupations,39-0000,Summary,4724.10,5088.40,2.90,3.00,364.30,7.70,717.40
Supervisors of personal care and service workers,39-1000,Summary,371.10,415.70,0.20,0.20,44.50,12.00,41.50
First-line supervisors of gambling services workers,39-1013,Line item,58.00,67.50,0.00,0.00,9.50,16.40,9.70
"First-line supervisors of personal service and entertainment and recreation workers, except gambling services",39-1098,Line item,313.10,348.10,0.20,0.20,35.00,11.20,31.80
Animal care and service workers,39-2000,Summary,350.90,426.40,0.20,0.30,75.50,21.50,62.40
Animal trainers,39-2011,Line item,50.20,56.90,0.00,0.00,6.70,13.30,7.60
Animal caretakers,39-2021,Line item,300.70,369.50,0.20,0.20,68.80,22.90,54.90
Entertainment attendants and related workers,39-3000,Summary,654.90,707.00,0.40,0.40,52.10,8.00,140.80
Gambling services workers,39-3010,Summary,124.20,133.20,0.10,0.10,9.00,7.20,19.70
Gambling dealers,39-3011,Line item,102.90,110.70,0.10,0.10,7.90,7.70,16.40
Gambling and sports book writers and runners,39-3012,Line item,10.40,10.80,0.00,0.00,0.40,3.70,1.60
"Gambling service workers, all other",39-3019,Line item,10.90,11.60,0.00,0.00,0.70,6.50,1.70
Motion picture projectionists,39-3021,Line item,4.70,4.10,0.00,0.00,-0.50,-11.20,0.90
"Ushers, lobby attendants, and ticket takers",39-3031,Line item,139.00,143.70,0.10,0.10,4.70,3.30,31.90
Miscellaneous entertainment attendants and related workers,39-3090,Summary,387.00,426.10,0.20,0.30,39.00,10.10,88.30
