Title,Code,Type,2019EmpNum,2029EmpProjNum,ChgNum,ChgPct,PctSelfEmp, AnnAvgOpens ,MedWage,Education,Experience,Training
"Social workers, all other",21-1029,Line item,62.50,65.60,3.20,5.10,0.50,5.80,61230.00,Bachelor's degree,None,None
Miscellaneous community and social service specialists,21-1090,Summary,749.70,854.00,104.30,13.90,0.20,90.10,39100.00,—,—,—
Health education specialists,21-1091,Line item,62.20,69.30,7.10,11.40,0.40,6.90,55220.00,Bachelor's degree,None,None
Probation officers and correctional treatment specialists,21-1092,Line item,91.80,95.30,3.40,3.70,—,7.30,54290.00,Bachelor's degree,None,Short-term on-the-job training
Social and human service assistants,21-1093,Line item,425.60,497.10,71.50,16.80,0.10,56.50,35060.00,High school diploma or equivalent,None,Short-term on-the-job training
Community health workers,21-1094,Line item,64.90,74.80,9.90,15.20,0.40,7.60,40360.00,High school diploma or equivalent,None,Short-term on-the-job training
"Community and social service specialists, all other",21-1099,Line item,105.20,117.60,12.40,11.70,0.30,11.80,43790.00,Bachelor's degree,None,None
Religious workers,21-2000,Summary,466.50,483.40,16.90,3.60,0.50,50.30,46880.00,—,—,—
Clergy,21-2011,Line item,243.90,253.60,9.70,4.00,0.70,24.40,50400.00,Bachelor's degree,None,Moderate-term on-the-job training
"Directors, religious activities and education",21-2021,Line item,157.50,162.70,5.20,3.30,0.40,17.70,43860.00,Bachelor's degree,Less than 5 years,None
"Religious workers, all other",21-2099,Line item,65.00,67.10,2.10,3.20,—,8.30,31630.00,Bachelor's degree,None,None
Legal occupations,23-0000,Summary,1335.60,1403.20,67.60,5.10,11.60,89.60,81820.00,—,—,—
"Lawyers, judges, and related workers",23-1000,Summary,883.90,918.40,34.50,3.90,16.10,43.30,119970.00,—,—,—
Lawyers and judicial law clerks,23-1010,Summary,831.30,864.20,32.90,4.00,17.00,40.80,120670.00,—,—,—
Lawyers,23-1011,Line item,813.90,846.30,32.30,4.00,17.30,39.90,122960.00,Doctoral or professional degree,None,None
Judicial law clerks,23-1012,Line item,17.30,17.90,0.60,3.40,—,0.80,54010.00,Doctoral or professional degree,None,None
"Judges, magistrates, and other judicial workers",23-1020,Summary,52.60,54.20,1.60,3.10,1.70,2.50,111080.00,—,—,—
"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,15.40,15.40,0.00,0.30,—,0.70,97870.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
"Arbitrators, mediators, and conciliators",23-1022,Line item,7.30,7.90,0.60,7.70,11.90,0.40,63930.00,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
"Judges, magistrate judges, and magistrates",23-1023,Line item,29.90,30.90,1.00,3.40,—,1.40,136910.00,Doctoral or professional degree,5 years or more,Short-term on-the-job training
Legal support workers,23-2000,Summary,451.70,484.80,33.10,7.30,2.90,46.30,51920.00,—,—,—
Paralegals and legal assistants,23-2011,Line item,337.80,373.10,35.30,10.50,0.80,37.60,51740.00,Associate's degree,None,None
Miscellaneous legal support workers,23-2090,Summary,113.90,111.70,-2.20,-2.00,8.90,8.70,52430.00,—,—,—
"Title examiners, abstractors, and searchers",23-2093,Line item,63.60,61.90,-1.60,-2.60,11.70,4.80,48180.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Legal support workers, all other",23-2099,Line item,50.40,49.80,-0.60,-1.20,5.30,3.90,58400.00,Associate's degree,None,None
Educational instruction and library occupations,25-0000,Summary,9744.70,10185.60,441.00,4.50,2.10,850.00,50790.00,—,—,—
Postsecondary teachers,25-1000,Summary,1721.50,1849.70,128.20,7.40,0.20,145.30,75440.00,—,—,—
"Business teachers, postsecondary",25-1011,Line item,105.10,117.70,12.70,12.00,0.20,9.50,87200.00,Doctoral or professional degree,None,None
"Math and computer science teachers, postsecondary",25-1020,Summary,98.60,100.40,1.80,1.80,0.10,7.60,77710.00,—,—,—
"Computer science teachers, postsecondary",25-1021,Line item,38.50,39.50,1.00,2.60,—,3.00,85180.00,Doctoral or professional degree,None,None
"Mathematical science teachers, postsecondary",25-1022,Line item,60.10,60.80,0.80,1.30,0.10,4.60,73690.00,Doctoral or professional degree,None,None
"Engineering and architecture teachers, postsecondary",25-1030,Summary,53.10,57.40,4.30,8.10,0.10,4.50,99300.00,—,—,—
"Architecture teachers, postsecondary",25-1031,Line item,8.50,9.00,0.40,5.10,—,0.70,87900.00,Doctoral or professional degree,None,None
"Engineering teachers, postsecondary",25-1032,Line item,44.60,48.40,3.80,8.60,—,3.80,101010.00,Doctoral or professional degree,None,None
"Life sciences teachers, postsecondary",25-1040,Summary,78.30,84.60,6.30,8.10,0.10,6.70,83370.00,—,—,—
"Agricultural sciences teachers, postsecondary",25-1041,Line item,11.40,11.70,0.20,2.10,—,0.90,83260.00,Doctoral or professional degree,None,None
"Biological science teachers, postsecondary",25-1042,Line item,64.70,70.70,6.00,9.30,0.20,5.60,83300.00,Doctoral or professional degree,None,None
"Forestry and conservation science teachers, postsecondary",25-1043,Line item,2.10,2.20,0.00,2.20,—,0.20,85450.00,Doctoral or professional degree,None,None
"Physical sciences teachers, postsecondary",25-1050,Summary,64.20,66.60,2.40,3.80,0.10,5.10,84730.00,—,—,—
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,13.10,13.40,0.20,1.90,—,1.00,92040.00,Doctoral or professional degree,None,None
"Chemistry teachers, postsecondary",25-1052,Line item,26.40,27.50,1.10,4.30,—,2.10,79550.00,Doctoral or professional degree,None,None
"Environmental science teachers, postsecondary",25-1053,Line item,7.60,7.80,0.30,3.70,—,0.60,82430.00,Doctoral or professional degree,None,None
"Physics teachers, postsecondary",25-1054,Line item,17.10,17.80,0.80,4.40,—,1.40,89590.00,Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary",25-1060,Summary,145.00,152.70,7.70,5.30,0.20,11.80,80020.00,—,—,—
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,7.20,7.50,0.30,4.40,—,0.60,86220.00,Doctoral or professional degree,None,None
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,13.40,14.00,0.70,4.90,—,1.10,77070.00,Doctoral or professional degree,None,None
"Economics teachers, postsecondary",25-1063,Line item,16.80,17.60,0.90,5.20,—,1.40,104370.00,Doctoral or professional degree,None,None
"Geography teachers, postsecondary",25-1064,Line item,4.80,5.00,0.10,2.90,—,0.40,80520.00,Doctoral or professional degree,None,None
"Political science teachers, postsecondary",25-1065,Line item,19.80,20.80,1.00,4.90,—,1.60,85930.00,Doctoral or professional degree,None,None
"Psychology teachers, postsecondary",25-1066,Line item,46.80,51.00,4.10,8.80,0.20,4.00,76620.00,Doctoral or professional degree,None,None
"Sociology teachers, postsecondary",25-1067,Line item,17.00,17.60,0.60,3.80,—,1.30,75290.00,Doctoral or professional degree,None,None
"Social sciences teachers, postsecondary, all other",25-1069,Line item,19.30,19.20,-0.10,-0.30,—,1.40,71530.00,Doctoral or professional degree,None,None
"Health teachers, postsecondary",25-1070,Summary,326.90,391.80,64.90,19.90,0.20,33.20,89910.00,—,—,—
"Health specialties teachers, postsecondary",25-1071,Line item,254.00,306.10,52.10,20.50,0.20,26.00,97320.00,Doctoral or professional degree,Less than 5 years,None
"Nursing instructors and teachers, postsecondary",25-1072,Line item,72.90,85.70,12.80,17.60,0.20,7.20,74600.00,Doctoral or professional degree,Less than 5 years,None
"Education and library science teachers, postsecondary",25-1080,Summary,82.60,86.50,3.90,4.70,0.20,6.70,66000.00,—,—,—
"Education teachers, postsecondary",25-1081,Line item,77.30,81.00,3.70,4.80,0.20,6.20,65510.00,Doctoral or professional degree,Less than 5 years,None
"Library science teachers, postsecondary",25-1082,Line item,5.40,5.50,0.20,3.00,—,0.40,71410.00,Doctoral or professional degree,None,None
"Law, criminal justice, and social work teachers, postsecondary",25-1110,Summary,55.40,59.00,3.60,6.40,0.20,4.60,75580.00,—,—,—
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.80,17.90,1.10,6.70,—,1.40,62860.00,Doctoral or professional degree,None,None
"Law teachers, postsecondary",25-1112,Line item,21.30,22.80,1.50,6.90,0.30,1.80,113530.00,Doctoral or professional degree,Less than 5 years,None
"Social work teachers, postsecondary",25-1113,Line item,17.30,18.30,1.00,5.70,—,1.40,72070.00,Doctoral or professional degree,None,None
"Arts, communications, history, and humanities teachers, postsecondary",25-1120,Summary,320.60,334.70,14.00,4.40,0.20,25.70,70550.00,—,—,—
"Art, drama, and music teachers, postsecondary",25-1121,Line item,116.30,122.80,6.50,5.60,0.20,9.50,69530.00,Master's degree,None,None
"Communications teachers, postsecondary",25-1122,Line item,35.60,36.70,1.10,3.20,—,2.80,70630.00,Doctoral or professional degree,None,None
"English language and literature teachers, postsecondary",25-1123,Line item,81.30,82.90,1.70,2.10,0.10,6.30,68490.00,Doctoral or professional degree,None,None
"Foreign language and literature teachers, postsecondary",25-1124,Line item,30.60,32.30,1.70,5.70,0.20,2.50,69990.00,Doctoral or professional degree,None,None
"History teachers, postsecondary",25-1125,Line item,26.00,27.00,0.90,3.60,—,2.10,75170.00,Doctoral or professional degree,None,None
"Philosophy and religion teachers, postsecondary",25-1126,Line item,30.90,32.90,2.10,6.70,0.30,2.60,75240.00,Doctoral or professional degree,None,None
Miscellaneous postsecondary teachers,25-1190,Summary,391.60,398.30,6.70,1.70,0.10,30.00,62040.00,—,—,—
"Family and consumer sciences teachers, postsecondary",25-1192,Line item,2.50,2.60,0.00,1.30,—,0.20,76480.00,Master's degree,None,None
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,19.10,19.60,0.50,2.60,—,1.50,64380.00,Doctoral or professional degree,None,None
"Career/technical education teachers, postsecondary",25-1194,Line item,124.10,125.50,1.30,1.10,0.20,9.40,54620.00,Bachelor's degree,Less than 5 years,None
"Postsecondary teachers, all other",25-1199,Line item,245.90,250.70,4.80,2.00,0.10,18.90,68970.00,Doctoral or professional degree,None,None
"Preschool, elementary, middle, secondary, and special education teachers",25-2000,Summary,4363.90,4515.60,151.80,3.50,0.10,322.40,58050.00,—,—,—
Preschool and kindergarten teachers,25-2010,Summary,668.10,686.30,18.20,2.70,0.80,62.80,34630.00,—,—,—
"Preschool teachers, except special education",25-2011,Line item,540.40,553.90,13.50,2.50,0.90,50.60,30520.00,Associate's degree,None,None
"Kindergarten teachers, except special education",25-2012,Line item,127.70,132.40,4.70,3.70,0.20,12.20,56850.00,Bachelor's degree,None,None
Elementary and middle school teachers,25-2020,Summary,2091.00,2165.30,74.30,3.60,—,148.70,59670.00,—,—,—
"Elementary school teachers, except special education",25-2021,Line item,1452.10,1503.50,51.40,3.50,—,103.20,59670.00,Bachelor's degree,None,None
"Middle school teachers, except special and career/technical education",25-2022,Line item,627.10,649.60,22.50,3.60,—,44.60,59660.00,Bachelor's degree,None,None
"Career/technical education teachers, middle school",25-2023,Line item,11.80,12.10,0.40,3.10,—,0.80,60800.00,Bachelor's degree,Less than 5 years,None
Secondary school teachers,25-2030,Summary,1124.50,1166.40,41.90,3.70,—,75.90,61660.00,—,—,—
"Secondary school teachers, except special and career/technical education",25-2031,Line item,1050.80,1090.90,40.20,3.80,—,71.10,61660.00,Bachelor's degree,None,None
"Career/technical education teachers, secondary school",25-2032,Line item,73.80,75.50,1.70,2.30,—,4.80,61710.00,Bachelor's degree,Less than 5 years,None
Special education teachers,25-2050,Summary,480.20,497.70,17.40,3.60,0.10,35.00,61040.00,—,—,—
"Special education teachers, preschool",25-2051,Line item,23.00,24.90,1.90,8.30,0.40,1.80,60000.00,Bachelor's degree,None,None
"Special education teachers, kindergarten and elementary school",25-2052,Line item,193.00,198.60,5.60,2.90,0.10,13.90,60460.00,Bachelor's degree,None,None
"Special education teachers, middle school",25-2057,Line item,84.70,86.90,2.20,2.60,—,6.10,61440.00,Bachelor's degree,None,None
"Special education teachers, secondary school",25-2058,Line item,143.00,147.60,4.60,3.20,0.10,10.30,61710.00,Bachelor's degree,None,None
"Special education teachers, all other",25-2059,Line item,36.60,39.70,3.10,8.50,0.30,2.90,61190.00,Bachelor's degree,None,None
Other teachers and instructors,25-3000,Summary,1471.10,1550.70,79.70,5.40,12.30,166.30,33140.00,—,—,—
"Adult basic education, adult secondary education, and English as a Second Language instructors",25-3011,Line item,59.30,53.10,-6.20,-10.40,7.50,5.30,54350.00,Bachelor's degree,None,None
Self-enrichment teachers,25-3021,Line item,386.20,425.90,39.80,10.30,21.40,46.50,39190.00,High school diploma or equivalent,Less than 5 years,None
"Substitute teachers, short-term",25-3031,Line item,619.40,635.30,15.90,2.60,5.30,67.30,28790.00,Bachelor's degree,None,None
"Tutors and teachers and instructors, all other",25-3097,Line item,406.20,436.40,30.20,7.40,14.80,47.20,39350.00,Bachelor's degree,None,None
"Librarians, curators, and archivists",25-4000,Summary,278.10,285.90,7.80,2.80,1.40,31.00,49030.00,—,—,—
"Archivists, curators, and museum technicians",25-4010,Summary,37.50,41.70,4.20,11.20,5.30,4.50,49850.00,—,—,—
Archivists,25-4011,Line item,8.10,8.80,0.60,7.90,4.70,0.90,53950.00,Master's degree,None,None
Curators,25-4012,Line item,14.50,16.40,1.80,12.60,5.70,1.80,54570.00,Master's degree,None,None
Museum technicians and conservators,25-4013,Line item,14.80,16.50,1.70,11.60,5.10,1.80,44430.00,Bachelor's degree,None,None
Librarians and media collections specialists,25-4022,Line item,146.50,153.80,7.30,5.00,1.20,13.80,59500.00,Bachelor's degree,None,None
Library technicians,25-4031,Line item,94.10,90.50,-3.60,-3.90,—,12.70,34900.00,Postsecondary nondegree award,None,None
Other educational instruction and library occupations,25-9000,Summary,1910.20,1983.70,73.50,3.80,0.40,185.00,29910.00,—,—,—
Farm and home management educators,25-9021,Line item,10.40,10.00,-0.40,-3.90,0.70,0.80,49710.00,Master's degree,None,None
Instructional coordinators,25-9031,Line item,192.90,204.30,11.40,5.90,2.00,17.70,66290.00,Master's degree,5 years or more,None
Teaching assistants,25-9040,Summary,1565.50,1621.70,56.30,3.60,0.20,153.80,28210.00,—,—,—
"Teaching assistants, postsecondary",25-9044,Line item,169.60,175.40,5.80,3.40,0.10,13.40,32080.00,Bachelor's degree,None,None
"Teaching assistants, except postsecondary",25-9045,Line item,1395.90,1446.40,50.50,3.60,0.20,140.40,27920.00,"Some college, no degree",None,None
"Educational instruction and library workers, all other",25-9099,Line item,141.40,147.70,6.20,4.40,1.20,12.70,40310.00,Bachelor's degree,None,None
"Arts, design, entertainment, sports, and media occupations",27-0000,Summary,2923.60,2997.60,73.90,2.50,24.70,293.40,51150.00,—,—,—
Art and design workers,27-1000,Summary,909.50,876.70,-32.90,-3.60,29.50,75.60,48130.00,—,—,—
Artists and related workers,27-1010,Summary,218.60,219.70,1.10,0.50,54.50,21.00,77250.00,—,—,—
Art directors,27-1011,Line item,99.10,97.30,-1.80,-1.80,55.60,9.20,94220.00,Bachelor's degree,5 years or more,None
Craft artists,27-1012,Line item,10.60,10.50,-0.10,-1.00,55.90,1.00,34710.00,No formal educational credential,None,Long-term on-the-job training
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,28.30,28.60,0.30,1.00,55.30,2.70,50550.00,Bachelor's degree,None,Long-term on-the-job training
Special effects artists and animators,27-1014,Line item,67.50,70.30,2.80,4.10,55.60,6.90,75270.00,Bachelor's degree,None,None
"Artists and related workers, all other",27-1019,Line item,13.10,13.00,0.00,-0.20,38.10,1.20,64490.00,No formal educational credential,None,Long-term on-the-job training
Designers,27-1020,Summary,690.90,657.00,-33.90,-4.90,21.60,54.60,44400.00,—,—,—
Commercial and industrial designers,27-1021,Line item,42.20,40.70,-1.50,-3.50,21.90,3.40,68890.00,Bachelor's degree,None,None
Fashion designers,27-1022,Line item,28.30,27.00,-1.30,-4.40,22.00,2.30,73790.00,Bachelor's degree,None,None
Floral designers,27-1023,Line item,51.80,41.40,-10.40,-20.10,22.80,3.00,28040.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Graphic designers,27-1024,Line item,281.50,270.80,-10.70,-3.80,20.90,22.70,52110.00,Bachelor's degree,None,None
Interior designers,27-1025,Line item,77.90,74.10,-3.80,-4.90,21.80,6.20,56040.00,Bachelor's degree,None,None
Merchandise displayers and window trimmers,27-1026,Line item,180.40,174.20,-6.20,-3.40,22.10,14.60,29460.00,High school diploma or equivalent,None,Short-term on-the-job training
Set and exhibit designers,27-1027,Line item,15.20,15.40,0.20,1.20,20.20,1.30,54600.00,Bachelor's degree,None,None
"Designers, all other",27-1029,Line item,13.60,13.40,-0.30,-1.90,21.70,1.10,64620.00,Bachelor's degree,None,None
"Entertainers and performers, sports and related workers",27-2000,Summary,841.80,902.40,60.60,7.20,21.40,104.70,45250.00,—,—,—
"Actors, producers, and directors",27-2010,Summary,229.60,247.70,18.10,7.90,19.00,22.30,63110.00,—,—,—
Actors,27-2011,Line item,70.10,72.20,2.10,3.10,23.90,7.10,,"Some college, no degree",None,Long-term on-the-job training
Producers and directors,27-2012,Line item,159.50,175.50,16.00,10.00,16.90,15.20,74420.00,Bachelor's degree,Less than 5 years,None
"Athletes, coaches, umpires, and related workers",27-2020,Summary,328.40,366.00,37.50,11.40,10.20,50.70,34680.00,—,—,—
Athletes and sports competitors,27-2021,Line item,13.60,15.00,1.40,10.00,14.20,2.10,51370.00,No formal educational credential,None,Long-term on-the-job training
Coaches and scouts,27-2022,Line item,292.00,326.40,34.30,11.80,10.20,45.30,34840.00,Bachelor's degree,None,None
"Umpires, referees, and other sports officials",27-2023,Line item,22.80,24.60,1.80,8.00,8.10,3.40,28550.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Dancers and choreographers,27-2030,Summary,16.90,18.00,1.00,6.10,15.00,2.80,38850.00,—,—,—
Dancers,27-2031,Line item,11.40,11.70,0.30,2.30,15.00,1.80,,No formal educational credential,None,Long-term on-the-job training
Choreographers,27-2032,Line item,5.50,6.30,0.80,14.00,14.90,1.00,46330.00,High school diploma or equivalent,5 years or more,Long-term on-the-job training
"Musicians, singers, and related workers",27-2040,Summary,233.60,236.10,2.60,1.10,35.70,25.30,,—,—,—
Music directors and composers,27-2041,Line item,58.00,59.00,1.00,1.70,27.80,6.30,51670.00,Bachelor's degree,Less than 5 years,None
Musicians and singers,27-2042,Line item,175.60,177.20,1.60,0.90,38.30,19.00,,No formal educational credential,None,Long-term on-the-job training
"Miscellaneous entertainers and performers, sports and related workers",27-2090,Line item,33.30,34.60,1.40,4.20,51.30,3.60,,No formal educational credential,None,Short-term on-the-job training
Media and communication workers,27-3000,Summary,804.00,828.00,24.00,3.00,19.30,76.10,59230.00,—,—,—
Broadcast announcers and radio disc jockeys,27-3011,Line item,40.80,38.70,-2.10,-5.30,28.20,3.70,34630.00,Bachelor's degree,None,None
"News analysts, reporters, and journalists",27-3023,Line item,52.00,46.20,-5.80,-11.20,15.90,4.30,46270.00,Bachelor's degree,None,None
Public relations specialists,27-3031,Line item,274.60,294.30,19.70,7.20,1.40,27.10,61150.00,Bachelor's degree,None,None
Writers and editors,27-3040,Summary,308.40,300.90,-7.40,-2.40,34.10,27.10,65120.00,—,—,—
Editors,27-3041,Line item,118.70,110.00,-8.70,-7.30,13.80,9.80,61370.00,Bachelor's degree,Less than 5 years,None
Technical writers,27-3042,Line item,58.40,62.70,4.30,7.40,10.30,5.70,72850.00,Bachelor's degree,Less than 5 years,Short-term on-the-job training
Writers and authors,27-3043,Line item,131.20,128.20,-3.10,-2.30,63.10,11.60,63200.00,Bachelor's degree,None,Long-term on-the-job training
Miscellaneous media and communication workers,27-3090,Summary,128.20,148.00,19.70,15.40,20.40,13.80,52310.00,—,—,—
Interpreters and translators,27-3091,Line item,77.40,92.90,15.50,20.00,21.30,8.80,51830.00,Bachelor's degree,None,None
Court reporters and simultaneous captioners,27-3092,Line item,15.70,17.00,1.40,8.90,4.60,1.40,60130.00,Postsecondary nondegree award,None,Short-term on-the-job training
"Media and communication workers, all other",27-3099,Line item,35.20,38.00,2.80,8.10,25.30,3.60,47580.00,High school diploma or equivalent,None,Short-term on-the-job training
Media and communication equipment workers,27-4000,Summary,368.30,390.50,22.20,6.00,32.30,37.10,48270.00,—,—,—
Audio and video technicians,27-4011,Line item,91.80,103.10,11.30,12.30,9.10,10.80,45910.00,Postsecondary nondegree award,None,Short-term on-the-job training
Broadcast technicians,27-4012,Line item,32.70,33.70,1.00,3.10,10.00,3.40,40570.00,Associate's degree,None,Short-term on-the-job training
Sound engineering technicians,27-4014,Line item,15.80,16.70,1.00,6.00,9.70,1.70,54740.00,Postsecondary nondegree award,None,Short-term on-the-job training
Photographers,27-4021,Line item,133.50,128.70,-4.80,-3.60,63.80,10.90,36280.00,High school diploma or equivalent,None,Moderate-term on-the-job training
"Television, video, and film camera operators and editors",27-4030,Summary,67.90,80.40,12.40,18.30,27.00,7.40,59810.00,—,—,—
"Camera operators, television, video, and film",27-4031,Line item,29.70,33.80,4.20,14.00,26.40,3.00,55160.00,Bachelor's degree,None,None
Film and video editors,27-4032,Line item,38.30,46.50,8.30,21.60,27.40,4.30,63780.00,Bachelor's degree,None,None
"Lighting technicians and media and communication equipment workers, all other",27-4098,Line item,26.60,27.90,1.30,4.90,8.30,2.80,73460.00,High school diploma or equivalent,None,Short-term on-the-job training
Healthcare practitioners and technical occupations,29-0000,Summary,9133.70,9967.30,833.60,9.10,2.50,570.80,68190.00,—,—,—
Healthcare diagnosing or treating practitioners,29-1000,Summary,6061.20,6646.80,585.50,9.70,3.60,339.80,82380.00,—,—,—
Chiropractors,29-1011,Line item,51.10,53.40,2.30,4.50,31.40,1.40,70340.00,Doctoral or professional degree,None,None
Dentists,29-1020,Summary,151.60,155.50,4.00,2.60,15.30,4.80,159200.00,—,—,—
"Dentists, general",29-1021,Line item,132.10,135.70,3.70,2.80,15.60,4.20,155600.00,Doctoral or professional degree,None,None
Oral and maxillofacial surgeons,29-1022,Line item,5.60,5.70,0.10,2.40,15.20,0.20,">=$208,000",Doctoral or professional degree,None,Internship/residency
Orthodontists,29-1023,Line item,7.20,7.30,0.20,2.40,15.90,0.20,">=$208,000",Doctoral or professional degree,None,Internship/residency
Prosthodontists,29-1024,Line item,0.60,0.60,0.00,2.20,15.90,0.00,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Dentists, all other specialists",29-1029,Line item,6.20,6.20,0.00,0.20,9.70,0.20,147220.00,Doctoral or professional degree,None,Internship/residency
Dietitians and nutritionists,29-1031,Line item,74.20,80.10,5.90,8.00,4.10,5.30,61270.00,Bachelor's degree,None,Internship/residency
Optometrists,29-1041,Line item,44.40,46.30,1.90,4.30,10.90,1.50,115250.00,Doctoral or professional degree,None,None
Pharmacists,29-1051,Line item,321.70,311.20,-10.50,-3.30,1.80,11.20,128090.00,Doctoral or professional degree,None,None
Physician assistants,29-1071,Line item,125.50,164.80,39.30,31.30,2.00,11.40,112260.00,Master's degree,None,None
Podiatrists,29-1081,Line item,10.50,10.60,0.00,0.20,4.80,0.50,126240.00,Doctoral or professional degree,None,Internship/residency
Therapists,29-1120,Summary,790.70,937.20,146.50,18.50,8.20,54.30,78790.00,—,—,—
Occupational therapists,29-1122,Line item,143.30,166.00,22.70,15.90,4.30,10.30,84950.00,Master's degree,None,None
Physical therapists,29-1123,Line item,258.20,305.20,47.00,18.20,7.50,15.20,89440.00,Doctoral or professional degree,None,None
Radiation therapists,29-1124,Line item,18.50,19.90,1.30,7.10,1.50,1.00,85560.00,Associate's degree,None,None
Recreational therapists,29-1125,Line item,19.90,21.60,1.70,8.30,—,1.20,48220.00,Bachelor's degree,None,None
Respiratory therapists,29-1126,Line item,135.80,162.00,26.30,19.40,0.10,9.20,61330.00,Associate's degree,None,None
Speech-language pathologists,29-1127,Line item,162.60,203.10,40.50,24.90,3.80,13.70,79120.00,Master's degree,None,Internship/residency
Exercise physiologists,29-1128,Line item,19.80,22.10,2.20,11.30,62.30,1.40,49170.00,Bachelor's degree,None,None
"Therapists, all other",29-1129,Line item,32.60,37.40,4.80,14.60,61.40,2.40,52650.00,Bachelor's degree,None,None
Veterinarians,29-1131,Line item,89.20,103.40,14.20,15.90,13.60,4.50,95460.00,Doctoral or professional degree,None,None
Registered nurses,29-1141,Line item,3096.70,3318.70,221.90,7.20,0.60,175.90,73300.00,Bachelor's degree,None,None
Nurse anesthetists,29-1151,Line item,44.90,51.00,6.20,13.70,0.60,2.90,174790.00,Master's degree,None,None
Nurse midwives,29-1161,Line item,7.20,8.10,0.80,11.60,2.20,0.50,105030.00,Master's degree,None,None
Nurse practitioners,29-1171,Line item,211.30,322.00,110.70,52.40,2.20,24.20,109820.00,Master's degree,None,None
Audiologists,29-1181,Line item,13.80,15.60,1.80,13.30,—,0.80,77600.00,Doctoral or professional degree,None,None
Anesthesiologists,29-1211,Line item,33.80,34.00,0.20,0.50,7.10,0.90,">=$208,000",Doctoral or professional degree,None,Internship/residency
Family medicine physicians,29-1215,Line item,119.30,126.60,7.30,6.10,6.70,4.00,205590.00,Doctoral or professional degree,None,Internship/residency
General internal medicine physicians,29-1216,Line item,49.50,49.20,-0.30,-0.60,6.80,1.30,201590.00,Doctoral or professional degree,None,Internship/residency
Obstetricians and gynecologists,29-1218,Line item,20.30,20.10,-0.30,-1.40,7.00,0.50,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Pediatricians, general",29-1221,Line item,32.50,32.00,-0.50,-1.60,7.00,0.80,175310.00,Doctoral or professional degree,None,Internship/residency
Psychiatrists,29-1223,Line item,27.90,31.30,3.30,11.90,5.60,1.10,">=$208,000",Doctoral or professional degree,None,Internship/residency
"Physicians, all other; and ophthalmologists, except pediatric",29-1228,Line item,429.50,447.90,18.50,4.30,5.90,13.60,206500.00,Doctoral or professional degree,None,Internship/residency
"Surgeons, except ophthalmologists",29-1248,Line item,39.60,38.80,-0.90,-2.20,6.90,1.00,">=$208,000",Doctoral or professional degree,None,Internship/residency
Miscellaneous healthcare diagnosing or treating practitioners,29-1290,Summary,276.00,289.10,13.20,4.80,5.10,17.40,76190.00,—,—,—
Dental hygienists,29-1292,Line item,226.40,239.70,13.30,5.90,1.60,15.10,76220.00,Associate's degree,None,None
"Acupuncturists and healthcare diagnosing or treating practitioners, all other",29-1298,Line item,49.60,49.40,-0.10,-0.30,21.20,2.30,75640.00,Master's degree,None,None
Health technologists and technicians,29-2000,Summary,2978.30,3215.90,237.60,8.00,0.30,225.00,44380.00,—,—,—
Clinical laboratory technologists and technicians,29-2010,Line item,337.80,362.50,24.70,7.30,—,21.60,53120.00,Bachelor's degree,None,None
Cardiovascular technologists and technicians,29-2031,Line item,57.40,60.50,3.10,5.40,—,3.20,57720.00,Associate's degree,None,None
Diagnostic medical sonographers,29-2032,Line item,74.30,86.80,12.50,16.80,—,5.10,74320.00,Associate's degree,None,None
Nuclear medicine technologists,29-2033,Line item,18.50,19.50,1.00,5.40,—,1.00,77950.00,Associate's degree,None,None
Radiologic technologists and technicians,29-2034,Line item,212.00,226.10,14.10,6.70,0.00,12.00,60510.00,Associate's degree,None,None
Magnetic resonance imaging technologists,29-2035,Line item,38.70,41.40,2.70,7.00,—,2.20,73410.00,Associate's degree,Less than 5 years,None
Emergency medical technicians and paramedics,29-2040,Line item,265.20,282.20,17.00,6.40,0.10,17.40,35400.00,Postsecondary nondegree award,None,None
Health practitioner support technologists and technicians,29-2050,Summary,819.00,881.30,62.30,7.60,0.10,69.20,35610.00,—,—,—
Dietetic technicians,29-2051,Line item,30.20,32.00,1.80,5.90,—,2.50,28400.00,Associate's degree,None,None
Pharmacy technicians,29-2052,Line item,422.30,437.60,15.20,3.60,0.10,33.40,33950.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Psychiatric technicians,29-2053,Line item,82.80,93.80,11.00,13.30,0.10,7.60,33780.00,Postsecondary nondegree award,Less than 5 years,Short-term on-the-job training
